donor,tissue,day,year,data,number_matched_UMIs,1_0,1_12,1_120,1_180,1_28,1_5,1_60,1_90,2_0,2_120,2_14,2_28,2_60,2_7,2_90
321-05,FNA,60,1,v1,4853,NA,NA,NA,NA,NA,NA,5248,NA,NA,NA,NA,NA,NA,NA,NA
321-05,FNA,60,1,v2,4833,NA,NA,NA,NA,NA,NA,5226,NA,NA,NA,NA,NA,NA,NA,NA
321-05,PBMC,60,1,old,15,NA,NA,NA,NA,NA,NA,3775,NA,NA,NA,NA,NA,NA,NA,NA
321-05,PBMC,60,1,v1,3714,NA,NA,NA,NA,NA,NA,3739,NA,NA,NA,NA,NA,NA,NA,NA
321-05,PBMC,60,1,v2,3699,NA,NA,NA,NA,NA,NA,3724,NA,NA,NA,NA,NA,NA,NA,NA
321-05,FNA,90,1,old,44,NA,NA,NA,NA,NA,NA,NA,7029,NA,NA,NA,NA,NA,NA,NA
321-05,FNA,90,1,v1,6444,NA,NA,NA,NA,NA,NA,NA,7060,NA,NA,NA,NA,NA,NA,NA
321-05,FNA,90,1,v2,6403,NA,NA,NA,NA,NA,NA,NA,7016,NA,NA,NA,NA,NA,NA,NA
321-04,FNA,0,2,v1,4296,NA,NA,NA,NA,NA,NA,NA,NA,4377,NA,NA,NA,NA,NA,NA
321-04,FNA,0,2,v2,4272,NA,NA,NA,NA,NA,NA,NA,NA,4353,NA,NA,NA,NA,NA,NA
321-05,FNA,0,2,v1,11896,NA,NA,NA,NA,NA,NA,NA,NA,12045,NA,NA,NA,NA,NA,NA
321-05,FNA,0,2,v2,11839,NA,NA,NA,NA,NA,NA,NA,NA,11989,NA,NA,NA,NA,NA,NA
321-05,FNA,120,2,v1,5020,NA,NA,NA,NA,NA,NA,NA,NA,NA,11225,NA,NA,NA,NA,NA
321-05,FNA,120,2,v2,5004,NA,NA,NA,NA,NA,NA,NA,NA,NA,11204,NA,NA,NA,NA,NA
321-04,FNA,14,2,v1,5530,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6033,NA,NA,NA,NA
321-04,FNA,14,2,v2,5507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6010,NA,NA,NA,NA
